City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
314,Wuwei,CN,26.49,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
315,Senador Guiomard,BR,78.55,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
317,Akureyri,IS,21.13,overcast clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
319,Constitucion,CL,72.39,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
320,Husavik,IS,21.11,broken clouds,66.0449,-17.3389,Bjarnabúð
321,Les Cayes,HT,82.02,few clouds,18.2,-73.75,Villa Orphee
322,Hirara,JP,69.96,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
323,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
324,Jizan,SA,85.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
325,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
326,Namie,JP,37.54,few clouds,37.4833,141.0,いこいの村なみえ
327,Algiers,DZ,58.82,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
329,Caiaponia,BR,81.41,few clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
330,Sar-E Pul,AF,34.36,overcast clouds,35.8333,66.1667,
331,Olafsvik,IS,28.58,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
332,Jimma,ET,74.66,overcast clouds,7.6667,36.8333,Jimma Central Hotel - ጂማ ሴንትራል ሆቴል
335,Kismayo,SO,79.12,overcast clouds,-0.3582,42.5454,Agan-Hotel
336,Bata,GQ,89.46,few clouds,1.8639,9.7658,Hotel Elik Melen
337,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
338,Kingseat,GB,49.48,few clouds,56.0974,-3.4084,"Holiday Inn Express Dunfermline, an IHG Hotel"
339,Thinadhoo,MV,82.04,overcast clouds,0.5333,72.9333,
342,Parkes,AU,66.34,clear sky,-33.1333,148.1833,Station Motel
343,Osypenko,UA,40.84,overcast clouds,46.9136,36.8253,
344,Sorong,ID,78.21,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
345,Nurota,UZ,33.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
346,Chilliwack,CA,41.94,clear sky,49.1747,-121.9443,Coast Chilliwack Hotel by APA
347,Jasper,US,22.35,few clouds,37.2001,-94.3502,Guest House Motel
348,Emerald,AU,77.14,few clouds,-23.5333,148.1667,The Irish Village
349,Derzhavinsk,KZ,19.45,overcast clouds,51.1,66.3167,Ooo.khim Baza
350,Mount Gambier,AU,60.71,broken clouds,-37.8333,140.7667,The Commodore
351,Zilair,RU,24.87,light snow,52.2332,57.4392,Gostinitsa Rina
352,Cururupu,BR,79.09,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
353,Lagos,NG,93.52,overcast clouds,6.5833,3.75,
354,Tariba,VE,73.96,overcast clouds,7.8188,-72.2243,Hotel Las Lomas
355,Kasongo-Lunda,CD,86.88,broken clouds,-6.4667,16.8167,
357,Varkaus,FI,26.71,light snow,62.3153,27.873,Hotel Oscar
358,Sena Madureira,BR,87.93,overcast clouds,-9.0656,-68.6569,Hotel Central
360,Tulsipur,NP,52.27,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
361,Japura,ID,74.84,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
362,Falmouth,GB,49.1,light rain,50.1544,-5.0711,The Falmouth Hotel
363,Saint-Louis,SN,89.13,scattered clouds,16.3333,-15.0,
364,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
365,Jacqueville,CI,85.91,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
366,Isla Vista,US,69.85,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
367,Tolosa,FR,58.14,clear sky,43.6043,1.4437,Novotel Toulouse Centre Wilson
368,Bundaberg,AU,71.89,overcast clouds,-24.85,152.35,Takalvan Motel
369,Christchurch,NZ,52.92,moderate rain,-43.5333,172.6333,The George
370,Port Lincoln,AU,68.38,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
371,Kazlu Ruda,LT,35.58,scattered clouds,54.7667,23.5,Guest House Regina
